LINEA;GRUPO;DETALLE;CODIGO;SOCOFAR;STOCK;COSTO;PNETO;PRECIO;VALORIZADO
3-M TELAS-ACCES.;;CORTADOR DE PASTILLAS FAMILY CAJA X 1 UNIDAD;160174;0;3;840;2101;2.500;2.520
3-M TELAS-ACCES.;;F.SET GASA N/AD (5X5) X 10 UN;160170;0;20;855;1597;1.900;17.100
3-M TELAS-ACCES.;;F.SET GASA N/AD (7.5X7.5) X 10 UN.;160169;0;10;631;1849;2.200;6.310
3-M TELAS-ACCES.;;FAMILY SEY TAPONES DE OIDO X 4 PAR;160167;0;12;744;2101;2.500;8.928
3-M TELAS-ACCES.;0155 PRIMEROS AUXILIOS;FAMILY SET CINTA PAPEL/DISP 1,25CM X9,1 M;160165;0;3;484;1933;2.300;1.452
3-M TELAS-ACCES.;0155 PRIMEROS AUXILIOS;FAMILY SET CINTA PAPEL/DISP 2,5CMX9,1M;160163;0;2;570;2689;3.200;1.140
3-M TELAS-ACCES.;0155 PRIMEROS AUXILIOS;FAMILY SET CINTA PLAST/DISP 2,5CM X9.1M;160164;0;27;665;2857;3.400;17.955
3-M TELAS-ACCES.;0155 PRIMEROS AUXILIOS;TAPONES C/CORD.Y EST.x1;160094;160094;3;2741;3782;4.500;8.223
3-M TELAS-ACCES.;0155 PRIMEROS AUXILIOS;TAPONES OIDO 4 PARES;160109;160069;3;2168;3529;4.200;6.504
ABBOTT;;GLUCERNA PVO. VAIN. X 850GR;29281;0;3;17812;24286;28.900;53.436
ABBOTT;;IZINOVA SOL. 176ML X2+VASO;29275;0;1;14518;19496;23.200;14.518
ABBOTT;0002 ANTICONCEPTIVOS;ACOTOL COM X 28;29273;0;2;10873;14664;17.450;21.746
ABBOTT NUTRICIONAL;0076 LECHES NIÑOS;ENSURE ADV. CHOCO. X 850 GR;872043;0;4;17928;21765;25.900;71.712
ABBOTT NUTRICIONAL;0076 LECHES NIÑOS;SIMILAC TOTAL COMFORT 820 GR;872030;264126;2;22384;26429;31.450;44.768
ABBOTT NUTRICIONAL;0108 OTROS ALIMENTOS;PEDIASURE COMPL. PVO. FRU. 900 GRS.;872019;266035;3;16481;20000;23.800;49.443
ABBOTT NUTRICIONAL;0108 OTROS ALIMENTOS;PEDIASURE VAINILLA 900GR.;872022;266034;2;15490;19790;23.550;30.980
ABBOTT NUTRICIONAL;0158 SUPLEMENTOS DIETARIOS;ENSURE ADVANCE PVO. VAINILLA 900 GRS.;872002;272779;3;18053;23109;27.500;54.159
AC.VARIOS PERFUMERIA;; CORTA U¥AS (P/PIES);181004;181004;8;1890;2941;3.500;15.120
AC.VARIOS PERFUMERIA;;ADIDA.CLO.SP.FRUT.M. X 75ML;181469;0;2;3634;9790;11.650;7.268
AC.VARIOS PERFUMERIA;;AXE BLACK PERA FROZ. X 150ML;181510;0;2;1400;2437;2.900;2.800
AC.VARIOS PERFUMERIA;;AXE DE.SP APOLLO X150ML;181485;0;6;1387;2521;3.000;8.322
AC.VARIOS PERFUMERIA;;AXE DES.SP MUSK X 150ML;181489;0;23;1396;2437;2.900;32.108
AC.VARIOS PERFUMERIA;;AXE DES.SP.DARKTEMT. X 150ML;181501;0;31;1402;2437;2.900;43.462
AC.VARIOS PERFUMERIA;;AXE MARINE FRES 150ML;181471;0;3;1733;2689;3.200;5.199
AC.VARIOS PERFUMERIA;;BABYSEC PREM. M X 20UN;181519;0;5;2600;3908;4.650;13.000
AC.VARIOS PERFUMERIA;;BUBU ABS. LECHE X 90UN;181295;0;3;3290;4790;5.700;9.870
AC.VARIOS PERFUMERIA;;BUBU PREND.CHUPETE X1;181417;0;3;1121;2185;2.600;3.363
AC.VARIOS PERFUMERIA;;BUBU SH120+COL120+EMU120;181460;0;1;2706;3529;4.200;2.706
AC.VARIOS PERFUMERIA;;BUBU SH120+EMU120+COL120;181459;0;7;2840;3782;4.500;19.880
AC.VARIOS PERFUMERIA;;CEP. UÑAS BRUSH X 1;181419;0;13;432;1849;2.200;5.616
AC.VARIOS PERFUMERIA;;COLGATE PAST.MINIO 6+ 100;181400;0;1;1680;2521;3.000;1.680
AC.VARIOS PERFUMERIA;;COTOLIN SABANILLA INFANTIL X 8;181497;0;1;2980;3950;4.700;2.980
AC.VARIOS PERFUMERIA;;DOVE DES.SP.INV.DRY X 150ML;181499;0;3;1420;2689;3.200;4.260
AC.VARIOS PERFUMERIA;;DOVE SH. REGENERACION EXT. X 400ML;181274;0;1;1476;2857;3.400;1.476
AC.VARIOS PERFUMERIA;;ELVIV.SH.REP.TOT.EXT. X370ML;181481;0;6;2124;3109;3.700;12.744
AC.VARIOS PERFUMERIA;;ELVIV.SH.RIZOZ DEF. 370ML;181480;0;7;2290;3277;3.900;16.030
AC.VARIOS PERFUMERIA;;F.SET BOTIQUIN 25ART.;181303;0;1;2340;3782;4.500;2.340
AC.VARIOS PERFUMERIA;;F.SET JABPAN.ALOE 3 X 100GR;181370;0;1;1290;2269;2.700;1.290
AC.VARIOS PERFUMERIA;;F.SET PAÑU.SOB X 10UN;181492;0;46;67;168;200;3.082
AC.VARIOS PERFUMERIA;;FRUCTIS CR.PEI.ALOE SECO 300ML;181257;0;5;2292;3361;4.000;11.460
AC.VARIOS PERFUMERIA;;GILLE.MACH3 MAQ.+RTO X2;181486;0;2;3815;5336;6.350;7.630
AC.VARIOS PERFUMERIA;;GILLE.MACH3 SENT. RTO X 6UN;181423;0;1;6690;9790;11.650;6.690
AC.VARIOS PERFUMERIA;;GILLE.ULT.GRIP 3.PRESTO X 2;181281;0;6;1890;2513;2.990;11.340
AC.VARIOS PERFUMERIA;;GROMEN 300 RTO X 2CART;181504;0;3;4512;6303;7.500;13.536
AC.VARIOS PERFUMERIA;;GROOMEN 300 MAQ.AFEIT. 3HOJAS X 1UN;181484;0;1;1280;2101;2.500;1.280
AC.VARIOS PERFUMERIA;;GROOMEN 500 RTO X 2CART;181505;0;3;5608;8235;9.800;16.824
AC.VARIOS PERFUMERIA;;JOVAN MUSK COL.SP.  X 59ML;181375;0;2;6292;8571;10.200;12.584
AC.VARIOS PERFUMERIA;;KIT TINTUTACIÓN;181406;0;1;1000;1849;2.200;1.000
AC.VARIOS PERFUMERIA;;KOTEX TOA. C/A 2/1 X 8UN;181425;0;9;1190;1681;2.000;10.710
AC.VARIOS PERFUMERIA;;LADYSOFT.ULTDELG.SECA C/A X 16UN;181429;0;1;2418;2941;3.500;2.418
AC.VARIOS PERFUMERIA;;LE SANCY JAN BARRA FRUTOS ROJOS Y YOG. X 90  GR.;181512;0;1;430;588;700;430
AC.VARIOS PERFUMERIA;;LEBLON BABY KIDS 50 GR;181346;0;6;969;1639;1.950;5.814
AC.VARIOS PERFUMERIA;;LEBLON STICK FACE 50FPS 13 GR;181521;0;6;4027;5798;6.900;24.162
AC.VARIOS PERFUMERIA;;LECH.LEC.REA350ML+CR75ML;181461;0;1;3185;4454;5.300;3.185
AC.VARIOS PERFUMERIA;;LOREAL EXC. 400 CASTAÑO;181337;0;1;4057;5798;6.900;4.057
AC.VARIOS PERFUMERIA;;LUBRIDERM EXT.HUM 750ML;181348;0;2;4814;7311;8.700;9.628
AC.VARIOS PERFUMERIA;;MASCARILLA NIÑOS X 4 UN;181351;0;1;100;840;1.000;100
AC.VARIOS PERFUMERIA;;MAYBELLINE SUPERSTAR 180 REVOLUTION;181386;0;3;4063;5798;6.900;12.189
AC.VARIOS PERFUMERIA;;MILLEF.CARE BAND.FAC.16;181415;0;4;2589;3529;4.200;10.356
AC.VARIOS PERFUMERIA;;NIVEA DESP.INV.FRES 150ML;181470;0;6;1615;3193;3.800;9.690
AC.VARIOS PERFUMERIA;;NIVEA ROLL-ON ACLARADO CLASC. X 50ML;181270;0;4;1712;2521;3.000;6.848
AC.VARIOS PERFUMERIA;;NIVEA SENSITIVE PROTECT;181340;0;10;1611;2689;3.200;16.110
AC.VARIOS PERFUMERIA;;NOSOT.CALZ.NOC.MAX.L/XL.3;181410;0;4;2728;3529;4.200;10.912
AC.VARIOS PERFUMERIA;;NOSOT.TOA.B.NOC.ULT.INV.16;181392;0;6;1770;2689;3.200;10.620
AC.VARIOS PERFUMERIA;;OLD SPICE DESTK A/P MAR PRO. X 50GR;181365;0;6;1947;2647;3.150;11.682
AC.VARIOS PERFUMERIA;;PANTE.ACO.BAMBU X 400ML;181367;0;3;2267;3487;4.150;6.801
AC.VARIOS PERFUMERIA;;PANTE.SH.BAMBU X 400ML;181368;0;1;1951;2857;3.400;1.951
AC.VARIOS PERFUMERIA;;PEPSODENT INT.PAS.DIEN X 75ML;181496;0;3;1993;2605;3.100;5.979
AC.VARIOS PERFUMERIA;;PETRI.SOMB.X9 VIOLE.;181478;0;1;2936;3866;4.600;2.936
AC.VARIOS PERFUMERIA;;PLAX ICE ENJ. INFIN. ZERO X 180ML;181373;0;3;824;1513;1.800;2.472
AC.VARIOS PERFUMERIA;;REMOVEDOR ESMT PERM. X 110 ML IMAGI NAIL;181299;0;5;2357;3950;4.700;11.785
AC.VARIOS PERFUMERIA;;REXONA SP.ACTIV.EMOT.72HRS X 150ML;181508;0;2;1500;2521;3.000;3.000
AC.VARIOS PERFUMERIA;;S.CARE CR.HIDRA. DERM X 500MG;181282;0;1;3525;5462;6.500;3.525
AC.VARIOS PERFUMERIA;;S.CARE CR.HIDRAT.DERM. X 250GR;181304;0;3;2402;3866;4.600;7.206
AC.VARIOS PERFUMERIA;;SH.DOVE FUERZA VITAL X 400ML;181273;0;5;1378;2857;3.400;6.890
AC.VARIOS PERFUMERIA;;SIMON.BABY SH.SUA&BRI400ML;181472;0;1;1690;2689;3.200;1.690
AC.VARIOS PERFUMERIA;;SIMONDS D.CARE CHOC.ALMEND.JAB.GLIC.750 ML;181414;0;2;1440;2185;2.600;2.880
AC.VARIOS PERFUMERIA;;SIMONDS DERMO CREAM PIEL ATOPICA;181516;0;2;2500;4622;5.500;5.000
AC.VARIOS PERFUMERIA;;SIMONDS DERMO CREAM Q10-PROTEIN;181517;0;2;3242;4958;5.900;6.484
AC.VARIOS PERFUMERIA;;TIO NACHITO SH.2/1 X 400ML;181520;0;1;6390;8395;9.990;6.390
AC.VARIOS PERFUMERIA;;TOALLAS HUMEDAS PARA ADULTO;181347;0;14;1830;2857;3.400;25.620
AC.VARIOS PERFUMERIA;;VITIS KIDS CEREZA GERL DENTAL X 50ML;181378;0;3;2311;3193;3.800;6.933
AC.VARIOS PERFUMERIA;0098 ACCESORIOS MEDICOS;LIFESTYLES LARGE X 12 UN;181251;0;6;4371;6471;7.700;26.226
AC.VARIOS PERFUMERIA;0160 SHAMPOO CAPILAR;DOVE SH. CONTROL CASPA X 400ML;181271;0;1;1420;2941;3.500;1.420
AC.VARIOS PERFUMERIA;0183 COSMETICOS;VG ESM EFEC. GEL VOLUNTAD X 14ML;181288;0;7;1650;2437;2.900;11.550
AC.VARIOS PERFUMERIA;0232 CHUPETE BEBE;BUBU CUP. BRILLA X 1 UN;181264;0;4;1499;2479;2.950;5.996
ACCESORIOS FARMA 7;;GASA PARAFINADA 10CM X 10CM 1UN;892055;0;4;196;1008;1.200;784
ACCESORIOS FARMA 7;;NATURAL ICE SPORT FPS 15;892061;0;3;1102;1933;2.300;3.306
ACCESORIOS FARMA 7;;SCANMED TEST MULTI DROGA 4;892048;0;6;2270;4496;5.350;13.620
ACCESORIOS FARMA 7;;TELA ADH. 5CM X 9 MTS SEDA;892057;0;5;1200;3277;3.900;6.000
ACCESORIOS MEDICOS;;100 BEAUTY CORTAUÑAS MANO;182519;0;6;474;840;1.000;2.844
ACCESORIOS MEDICOS;;AGUJA 18 X 1 1/2;182364;0;251;40;126;150;10.040
ACCESORIOS MEDICOS;;ALGINATO DE PLATA 10 X 10CM;182493;0;6;4066;5706;6.790;24.396
ACCESORIOS MEDICOS;;APOS.GASA N/T +ALGODON 10X10CM X 1UN;182513;0;28;113;504;600;3.164
ACCESORIOS MEDICOS;;APOSITO ADH.ESTÉRIL TRANS.DE POLIURETANO 15CM X 20CM;182454;0;78;1000;2101;2.500;78.000
ACCESORIOS MEDICOS;;APOSITO ADH.TRANS. 6CM X 7CM;182453;0;63;300;588;700;18.900
ACCESORIOS MEDICOS;;BAJA LENGUA MADERA X 100;182366;0;7;1129;2773;3.300;7.903
ACCESORIOS MEDICOS;;BAJA LENGUA MADERA X 100UN;182478;0;4;1023;2101;2.500;4.092
ACCESORIOS MEDICOS;;BAJA LENGUA X 10UN;182518;0;5;200;1261;1.500;1.000
ACCESORIOS MEDICOS;;BAJADA DE SUERO MACROGOTA SMARTMED.;182509;0;6;224;672;800;1.344
ACCESORIOS MEDICOS;;CABESTRILLO PED. X 1UN;182490;0;4;2500;4034;4.800;10.000
ACCESORIOS MEDICOS;;CATETER INTRAV. 16G X 2;182473;0;2;307;1261;1.500;614
ACCESORIOS MEDICOS;;CATETER INTRAVE. 16G X 1 1/4;182516;0;43;286;546;650;12.298
ACCESORIOS MEDICOS;;CEROTTO CURITA ELASTI C/PLATA X 20UN;182450;0;4;1200;2353;2.800;4.800
ACCESORIOS MEDICOS;;CINTA ADH. BOBINA 5MT X 1.25CM;182439;0;24;667;1849;2.200;16.008
ACCESORIOS MEDICOS;;CINTA ADH. BOBINA 5MT X 5CM;182441;0;10;2000;3782;4.500;20.000
ACCESORIOS MEDICOS;;CINTA ADH.BOBINA 5MT X 2.50CM;182440;0;18;1000;2521;3.000;18.000
ACCESORIOS MEDICOS;;CINTA MICROP /CORTADOR 1.25X 9.14MT;182443;0;1;333;840;1.000;333
ACCESORIOS MEDICOS;;COMPRESA GEL PARA FIEBRE RETAIL 3 UN;182421;0;4;753;1429;1.700;3.012
ACCESORIOS MEDICOS;;COPOS ALGODON 1G X 100UN;182480;0;1;980;1891;2.250;980
ACCESORIOS MEDICOS;;CURITA RES.AL AGUA X 10UN;182488;0;1;1500;2227;2.650;1.500
ACCESORIOS MEDICOS;;F.SET APOSITO 10X12 CM 3 UNID;182393;0;12;1090;2941;3.500;13.080
ACCESORIOS MEDICOS;;F.SET LIMP.HERIDAS X 200ML;182495;0;4;1572;2773;3.300;6.288
ACCESORIOS MEDICOS;;F.SET PARC CURI TRANS X 60;182394;292990;1;580;1681;2.000;580
ACCESORIOS MEDICOS;;FARMAPORE 8 X 10CM UN;182452;0;3;330;630;750;990
ACCESORIOS MEDICOS;;GASA N/ADH. 7.5CM X 7.5CM;182456;0;50;48;210;250;2.400
ACCESORIOS MEDICOS;;GASA NO TEJIDA 7.5 X 7.5CM X 2UN;182508;0;-6;70;210;250;-420
ACCESORIOS MEDICOS;;GASA NT ESTERIL10*10 CRANBERRY;182520;0;37;88;336;400;3.256
ACCESORIOS MEDICOS;;GUANTE VINILO AZUL S X 100UN;182494;0;1;1918;7479;8.900;1.918
ACCESORIOS MEDICOS;;GUANTE VINILO L X 1PAR;182345;0;44;60;252;300;2.640
ACCESORIOS MEDICOS;;GUANTES DE VINILO M;182523;0;4;2290;5042;6.000;9.160
ACCESORIOS MEDICOS;;GUANTES LATEX T/L X100UN;182515;0;3;3800;8319;9.900;11.400
ACCESORIOS MEDICOS;;GUANTES NITRILO  VITAL  CLEAN  TALLA  L X 100UN;182482;0;2;3900;6555;7.800;7.800
ACCESORIOS MEDICOS;;GUANTES NITRILO GLOVES T/S X 100UN;182522;0;3;2500;7479;8.900;7.500
ACCESORIOS MEDICOS;;HUB VEN.AUTOA. C/R 7.5X4.5;182404;0;3;3090;5378;6.400;9.270
ACCESORIOS MEDICOS;;JERINGA 10ML (21G/ 1 1/2) CRANBERRY;182497;0;95;100;252;300;9.500
ACCESORIOS MEDICOS;;JERINGA 60 ML.B/D;182172;706287;20;314;1176;1.400;6.280
ACCESORIOS MEDICOS;;KDL LLAVE 3 PASOS;182189;0;8;257;420;500;2.056
ACCESORIOS MEDICOS;;KN95 MASCARILLA REUTI. X 1UN;182406;0;-3;115;714;850;-345
ACCESORIOS MEDICOS;;LOVE LIV.TERM.DIG.INF.TDI;182419;0;1;9490;16723;19.900;9.490
ACCESORIOS MEDICOS;;MASCARILLA  3 PLIEGUES  NIÑO X 50 UNID;182506;0;16;1300;2521;3.000;20.800
ACCESORIOS MEDICOS;;MASCARILLA KIDS X 10UN;182489;0;20;400;840;1.000;8.000
ACCESORIOS MEDICOS;;MUN.CARE JER.SLIP. 10ML 21GX1-1/2;182466;0;52;36;252;300;1.872
ACCESORIOS MEDICOS;;NITRATO DE PLATA LAPIZ 1 GR.;182500;0;2;1264;1681;2.000;2.528
ACCESORIOS MEDICOS;;OXIMETRO DE PULSO(ZENMED) MEDIV;182521;0;1;8977;12563;14.950;8.977
ACCESORIOS MEDICOS;;PARCHE CURITA STRIP;182236;271170;3;1350;2689;3.200;4.050
ACCESORIOS MEDICOS;;PARCHE OCULAR ADULTO X 1UN;182437;0;26;96;378;450;2.496
ACCESORIOS MEDICOS;;PARCHE OCULAR INFANTIL 1UN;182438;0;1;96;294;350;96
ACCESORIOS MEDICOS;;PASTILLERO 7 DIÍAS;182524;0;4;990;1975;2.350;3.960
ACCESORIOS MEDICOS;;RECOLECTOR ORINA AD.CORR.;182062;0;1;589;1891;2.250;589
ACCESORIOS MEDICOS;;RECOV. VENDA YESO 10CM X 2.7MT;182484;0;1;744;1849;2.200;744
ACCESORIOS MEDICOS;;ROKY SUTURA CEROTTO 6.4CM X 76MM  6UN;182449;0;8;1500;3025;3.600;12.000
ACCESORIOS MEDICOS;;SINGCL. TES . A/GE  COVID 19;182496;0;4;2954;7479;8.900;11.816
ACCESORIOS MEDICOS;;TAPON AURICULAR CERA X 10UN;182435;0;10;2400;4370;5.200;24.000
ACCESORIOS MEDICOS;;TAPON AURICULAR SILIC. X 8UN;182436;0;6;2400;4706;5.600;14.400
ACCESORIOS MEDICOS;;TEST EMBARAZO SCANMED X 2;182467;0;8;990;3782;4.500;7.920
ACCESORIOS MEDICOS;;URINARIO PLASTICO FEMENINO X 1  REUTTER;182512;0;3;2744;3782;4.500;8.232
ACCESORIOS MEDICOS;;VENDA COHESIVA AZUL 5CM X 4.5MT;182459;0;1;800;2101;2.500;800
ACCESORIOS MEDICOS;;VENDA ELAS. 10CM X 4.5MTS;182432;0;5;867;2353;2.800;4.335
ACCESORIOS MEDICOS;;VENDA ELAS. 12CM X 4.5MT;182433;0;9;900;1933;2.300;8.100
ACCESORIOS MEDICOS;;VENDA GASA 10CM X 4CM;182387;0;4;190;840;1.000;760
ACCESORIOS MEDICOS;;VENDA KINE. AZUL 5MC X 5MT;182491;0;1;1900;4706;5.600;1.900
ACCESORIOS MEDICOS;;VENDA YESO 12.5CM X 3MTS;182479;0;1;2847;3992;4.750;2.847
ACCESORIOS MEDICOS;;ZENMED TEST EMBARAZO X 1UN;182514;0;6;360;2101;2.500;2.160
ACCESORIOS MEDICOS;0098 ACCESORIOS MEDICOS;GASA QUIRURGICA   1x1YD.;182102;83003;51;412;1092;1.300;21.012
ACCESORIOS MEDICOS;0098 ACCESORIOS MEDICOS;GASA QUIRURGICA 1/2x1YD.;182103;83008;50;332;798;950;16.600
ACCESORIOS MEDICOS;0098 ACCESORIOS MEDICOS;GASA QUIRURGICA 1/4x1YD.;182104;83009;21;129;294;350;2.709
ACCESORIOS MEDICOS;0098 ACCESORIOS MEDICOS;TERMOMETRO DIGITAL;182109;83080;6;1190;2269;2.700;7.140
ACCESORIOS MEDICOS;0099 ACCESORIOS ORTOPEDICOS;CABESTRILLO SIMPLE T/L;182234;182133;4;2513;4706;5.600;10.052
ACCESORIOS MEDICOS;0099 ACCESORIOS ORTOPEDICOS;FAMILYSET VENDA ELAS.7,5 CM;182250;180029;6;1650;2899;3.450;9.900
ACCESORIOS MEDICOS;0237 ALGODON;ALGODON PRENSADO FAMILY SET 100 GR;182392;0;2;711;1092;1.300;1.422
ACCESORIOS MEDICOS;0237 ALGODON;ALGODON PRENSADO FAMILY SET 50GR;182391;0;7;426;798;950;2.982
ACCESORIOS VARIOS;;AC.COCO 60mL.;177094;168003;5;1050;2101;2.500;5.250
ACCESORIOS VARIOS;;ALICATE DE PIES BETER X 1UN;177962;0;1;4724;6176;7.350;4.724
ACCESORIOS VARIOS;;ALWAYS ULT/FI.NOC. C/A SUA. X 8;177970;0;4;1130;1597;1.900;4.520
ACCESORIOS VARIOS;;AQUAFRESH MENTA X 158 GR;177963;0;1;1142;2101;2.500;1.142
ACCESORIOS VARIOS;;AQUAFRESH TP. MENTA X 126GR;177950;0;10;859;1933;2.300;8.590
ACCESORIOS VARIOS;;AXE DARK.TEMPT X 150ML;177969;0;3;1890;2479;2.950;5.670
ACCESORIOS VARIOS;;AXE DES.SP. SECO APOLLO X 150ML;177971;0;11;1782;2437;2.900;19.602
ACCESORIOS VARIOS;;BENTLY ANILL. VIB.D/PLE X 1;177887;0;1;2990;5210;6.200;2.990
ACCESORIOS VARIOS;;BOLSA VERDE X 1UN;177975;0;16;92;252;300;1.472
ACCESORIOS VARIOS;;BUBU CHUP.MAM.BO/AN+6MX2;177941;0;10;963;1471;1.750;9.630
ACCESORIOS VARIOS;;CHIP ENTEL X 1UN;177906;0;1;500;1681;2.000;500
ACCESORIOS VARIOS;;CLORURO SODIO 0.9% X 250 ML;177804;0;14;1018;1765;2.100;14.252
ACCESORIOS VARIOS;;CLORURO SODIO AMP 10 ML;177818;0;14;116;420;500;1.624
ACCESORIOS VARIOS;;COLGATE E/PACK MAXWHITE 3 X 75ML;177980;0;1;3009;3992;4.750;3.009
ACCESORIOS VARIOS;;ELITE PAÑ.PACK FAM. 18 PAQ. X 10UN;177911;0;5;2512;3571;4.250;12.560
ACCESORIOS VARIOS;;EMUWIPES TOALL HUM 80 PACK X 2;177747;274716;7;1850;2647;3.150;12.950
ACCESORIOS VARIOS;;ESPEJO MAGNIFYING X 1 UN;177896;0;1;800;2437;2.900;800
ACCESORIOS VARIOS;;EST.DEMIN COL.75ML+ AFSH;177989;0;1;4728;7479;8.900;4.728
ACCESORIOS VARIOS;;F.SET COTONITOS X 200 UN.;177871;0;1;853;2101;2.500;853
ACCESORIOS VARIOS;;F.SET PARC. CURITA D/NIÑAS X 30;177858;287859;14;531;1597;1.900;7.434
ACCESORIOS VARIOS;;F.SET VEND.ELAS.GASA.6 CM;177901;0;10;350;798;950;3.500
ACCESORIOS VARIOS;;F.SET.PAÑ.TRI.HOJ.18PAQ.X 10UN;177910;0;7;1170;3193;3.800;8.190
ACCESORIOS VARIOS;;FAM.SET APOSITO TRANSP. 6X7 CM X 3 UN.;177831;0;4;900;1849;2.200;3.600
ACCESORIOS VARIOS;;FAM.SET SUTURA ADHESIVAS X 9 UN.;177846;0;5;1304;3782;4.500;6.520
ACCESORIOS VARIOS;;FRASCO PRUEBA ORINA 60ML X 1UN;177894;0;66;116;672;800;7.656
ACCESORIOS VARIOS;;FRUCTIS GEL FUERTE;177943;0;4;3278;4916;5.850;13.112
ACCESORIOS VARIOS;;GUANTE VINILO  AZUL T/S  X 1PAR;177448;0;32;116;252;300;3.712
ACCESORIOS VARIOS;;GUATERO PLASTICO C/FORRO 1 LT;177362;177054;1;1890;2773;3.300;1.890
ACCESORIOS VARIOS;;HUB SPORT CINTA ADHESIVA NEUROMUS. 5MX 5CM  CELESTE;177819;0;2;3090;5378;6.400;6.180
ACCESORIOS VARIOS;;HUB VENDA ELAS. 7.5 CM X 4.5 MT;177816;0;13;2256;3277;3.900;29.328
ACCESORIOS VARIOS;;ITZY STARLIGH X 250ML;177978;0;2;2609;4034;4.800;5.218
ACCESORIOS VARIOS;;JABON LIQ. GLIC. X 1000 ML;177838;0;2;950;1597;1.900;1.900
ACCESORIOS VARIOS;;LOREAL INFAIL.LAB/BAL 215;177995;0;3;5408;7395;8.800;16.224
ACCESORIOS VARIOS;;LOREAL INFAIL.LAB/BAL 501;177996;0;3;5408;7395;8.800;16.224
ACCESORIOS VARIOS;;LOREAL INFAIL.LAB/BAL 801;177994;0;4;5408;7395;8.800;21.632
ACCESORIOS VARIOS;;LOREAL INFAIL.LAB/BAL.302;177997;0;2;5408;7395;8.800;10.816
ACCESORIOS VARIOS;;MAMADERA ANIMALITO 250ML B/N;177874;0;2;1145;2479;2.950;2.290
ACCESORIOS VARIOS;;MASCARILLA DES/CELES X 50UN;177028;0;12;1000;2689;3.200;12.000
ACCESORIOS VARIOS;;MASCARILLA KN95 1 UN;177870;0;44;102;714;850;4.488
ACCESORIOS VARIOS;;MAYBE. MASK PEST.THE FALS,;177951;0;1;7326;9538;11.350;7.326
ACCESORIOS VARIOS;;METFORMINA 850 X 30 COMP.;177843;0;2;464;1429;1.700;928
ACCESORIOS VARIOS;;N.VISAGE TOA.DES. P/SENC.;177955;0;5;1250;2706;3.220;6.250
ACCESORIOS VARIOS;;NOSOT.P.DIAR.LARG. C/A X 40UN;177959;0;12;1790;2689;3.200;21.480
ACCESORIOS VARIOS;;PARCHES SURTIDOS X 30;177845;0;5;371;1849;2.200;1.855
ACCESORIOS VARIOS;;PEPSODENT PASTA DENTAL XTRA WHITENING X 90 GR;177833;0;3;730;1261;1.500;2.190
ACCESORIOS VARIOS;;PETRI.KIT.MAQ.CAN CAN;177986;0;2;7810;11597;13.800;15.620
ACCESORIOS VARIOS;;PETRI.MAKEUP KIT BE UNIQ.;177987;0;1;6789;10000;11.900;6.789
